,UNIQUE_CARRIER_NAME,DATE,TOP1_DEST,TOP2_DEST,TOP3_DEST,TOP4_DEST,TOP5_DEST
171,Allegiant Air,2016-04-01,"Sanford, FL","St. Petersburg, FL","Phoenix, AZ","Las Vegas, NV","Punta Gorda, FL"
172,Allegiant Air,2016-05-01,"Sanford, FL","St. Petersburg, FL","Las Vegas, NV","Phoenix, AZ","Punta Gorda, FL"
173,Allegiant Air,2016-06-01,"Sanford, FL","St. Petersburg, FL","Las Vegas, NV","Phoenix, AZ","Punta Gorda, FL"
174,Allegiant Air,2016-07-01,"Sanford, FL","St. Petersburg, FL","Las Vegas, NV","Phoenix, AZ","Punta Gorda, FL"
175,Allegiant Air,2016-08-01,"Sanford, FL","St. Petersburg, FL","Las Vegas, NV","Phoenix, AZ","Punta Gorda, FL"
176,Allegiant Air,2016-09-01,"Sanford, FL","St. Petersburg, FL","Las Vegas, NV","Phoenix, AZ","Punta Gorda, FL"
177,Allegiant Air,2016-10-01,"Sanford, FL","St. Petersburg, FL","Las Vegas, NV","Phoenix, AZ","Punta Gorda, FL"
178,Allegiant Air,2016-11-01,"Sanford, FL","St. Petersburg, FL","Las Vegas, NV","Phoenix, AZ","Punta Gorda, FL"
179,Allegiant Air,2016-12-01,"Sanford, FL","St. Petersburg, FL","Las Vegas, NV","Phoenix, AZ","Punta Gorda, FL"
180,Allegiant Air,2017-01-01,"Sanford, FL","St. Petersburg, FL","Las Vegas, NV","Phoenix, AZ","Punta Gorda, FL"
181,Allegiant Air,2017-02-01,"Sanford, FL","St. Petersburg, FL","Las Vegas, NV","Phoenix, AZ","Punta Gorda, FL"
182,Allegiant Air,2017-03-01,"Sanford, FL","St. Petersburg, FL","Phoenix, AZ","Las Vegas, NV","Punta Gorda, FL"
183,Allegiant Air,2017-04-01,"Sanford, FL","St. Petersburg, FL","Las Vegas, NV","Phoenix, AZ","Punta Gorda, FL"
184,Allegiant Air,2017-05-01,"Sanford, FL","St. Petersburg, FL","Las Vegas, NV","Phoenix, AZ","Punta Gorda, FL"
185,Allegiant Air,2017-06-01,"St. Petersburg, FL","Sanford, FL","Las Vegas, NV","Phoenix, AZ","Punta Gorda, FL"
186,Allegiant Air,2017-07-01,"Sanford, FL","St. Petersburg, FL","Las Vegas, NV","Phoenix, AZ","Punta Gorda, FL"
187,Allegiant Air,2017-08-01,"Sanford, FL","Las Vegas, NV","St. Petersburg, FL","Phoenix, AZ","Punta Gorda, FL"
188,Allegiant Air,2017-09-01,"Sanford, FL","Las Vegas, NV","St. Petersburg, FL","Phoenix, AZ","Punta Gorda, FL"
189,Allegiant Air,2017-10-01,"Sanford, FL","Las Vegas, NV","St. Petersburg, FL","Phoenix, AZ","Punta Gorda, FL"
190,Allegiant Air,2017-11-01,"Sanford, FL","Las Vegas, NV","St. Petersburg, FL","Phoenix, AZ","Punta Gorda, FL"
191,Allegiant Air,2017-12-01,"Sanford, FL","Las Vegas, NV","St. Petersburg, FL","Phoenix, AZ","Punta Gorda, FL"
192,Allegiant Air,2018-01-01,"Sanford, FL","St. Petersburg, FL","Las Vegas, NV","Phoenix, AZ","Punta Gorda, FL"
193,Allegiant Air,2018-02-01,"Sanford, FL","St. Petersburg, FL","Las Vegas, NV","Phoenix, AZ","Punta Gorda, FL"
194,Allegiant Air,2018-03-01,"Sanford, FL","St. Petersburg, FL","Las Vegas, NV","Phoenix, AZ","Punta Gorda, FL"
195,Allegiant Air,2018-04-01,"Sanford, FL","St. Petersburg, FL","Las Vegas, NV","Phoenix, AZ","Punta Gorda, FL"
196,Allegiant Air,2018-05-01,"Sanford, FL","St. Petersburg, FL","Las Vegas, NV","Phoenix, AZ","Punta Gorda, FL"
197,Allegiant Air,2018-06-01,"St. Petersburg, FL","Sanford, FL","Las Vegas, NV","Phoenix, AZ","Punta Gorda, FL"
198,Allegiant Air,2018-07-01,"St. Petersburg, FL","Sanford, FL","Las Vegas, NV","Phoenix, AZ","Punta Gorda, FL"
199,Allegiant Air,2018-08-01,"Sanford, FL","St. Petersburg, FL","Las Vegas, NV","Phoenix, AZ","Punta Gorda, FL"
200,Allegiant Air,2018-09-01,"Sanford, FL","St. Petersburg, FL","Las Vegas, NV","Phoenix, AZ","Punta Gorda, FL"
201,Allegiant Air,2018-10-01,"Sanford, FL","St. Petersburg, FL","Las Vegas, NV","Phoenix, AZ","Punta Gorda, FL"
